tradition	level	corpus
occult	5	Abyssal Plague (nec): Inflict a draining curse. Banishment H (abj): Send a creature back to its home plane. Black Tentacles (con): Tentacles in an area grab creatures. Chromatic Wall H (abj): A wall of light offers a unique protection based on its color. Cloak of Colors (ill): Bright colors dazzle creatures near the target, and attacks cause blinding flashes of light. Crushing Despair H (enc): Make a creature sob uncontrollably. Death Ward (abj): Protect a creature against negative energy. Dreaming Potential (enc): The target retrains in its dreams. False Vision U (ill): Trick a scrying spell. Hallucination H (ill): A creature believes one thing is another, can’t detect something, or sees something that’s not really there. Illusory Scene H (ill): Create an imaginary scene containing multiple creatures and objects. Mariner’s Curse (nec): Infect a creature with the curse of the rolling sea. Mind Probe U (div): Uncover knowledge and memories in a creature’s mind. Prying Eye (div): An invisible eye transmits what it sees to you. Sending (div): Send a mental message to a creature anywhere on the planet and get a reply. Shadow Blast H (evo): Shape a cone of shadow to deal damage of a type you choose. Shadow Siphon (ill): React to lessen the damage from an enemy’s spell by making it partially illusion. Shadow Walk U (con): Travel rapidly via the Shadow Plane. Subconscious Suggestion H (enc): Plant a mental suggestion that must be followed when a trigger occurs. Summon Entity H (con): Conjure an aberration to fight on your behalf. Synaptic Pulse (enc): Slow creatures with a mental blast. Synesthesia H (div): Rewire a creature’s senses. Telekinetic Haul (evo): Move a large object. Telepathic Bond U (div): Link minds with willing creatures to communicate telepathically at great distances. Tongues U, H (div): Let a creature understand and speak all languages.
occult	6	Collective Transposition H (con): Teleport up to two creatures to new positions near you. Dominate U, H (enc): A creature must obey your orders. Feeblemind (enc): Stupefy a creature permanently. Mislead (ill): Turn invisible and create a duplicate of yourself who acts like you. Phantasmal Calamity H (ill): Damage a creature mentally with visions of an apocalypse. Repulsion (abj): Prevent creatures from approaching you. Scrying U (div): Spy on a creature. Spellwrack (abj): Curse a creature to be harmed when a spell is cast on it and lower the duration of its spells. Spirit Blast H (nec): Damage a creature’s spiritual essence. Teleport U, H (con): Transport you and willing creatures a great distance. True Seeing (div): See through illusions and transmutations. Vampiric Exsanguination H (nec): Draw blood and life force from creatures in a cone. Vibrant Pattern (ill): Make a pattern of lights that dazzles and blinds. Wall of Force H (evo): Create an invisible and durable wall of magical force. Zealous Conviction H (enc): Instill unshakable conviction and zeal in willing creatures.
occult	7	Dimensional Lock U (abj): Prevent teleportation and planar travel. Duplicate Foe H (con): Create a temporary duplicate of an enemy that fights for you. Energy Aegis H (abj): A creature gains resistance to acid, cold, electricity, fire, force, and sonic. Ethereal Jaunt U, H (con): Use the Ethereal Plane to move through objects and into the air. Magnificent Mansion U (con): Conjure a secure dwelling in a demiplane. Mask of Terror H (ill): A creature’s fearsome illusory appearance frightens observers. Plane Shift U (con): Transport creatures to another plane of existence. Possession U, H (nec): Send your mind and soul into another creature’s body. Prismatic Spray (evo): Shoot rainbow beams that have various effects on creatures in a cone. Project Image H (ill): Make an illusion of yourself you can cast spells through. Retrocognition H (div): Sense impressions of past events at your location. Reverse Gravity U (evo): Flip the gravitational pull in an area. True Target (div): Make multiple attacks against a creature especially accurate. Visions of Danger H (ill): Create a vision of horrid, swarming creatures that causes mental damage. Warp Mind (enc): Confuse a creature, possibly permanently.
occult	8	Antimagic Field R (abj): Magic doesn’t function in an area around you. Disappearance (ill): Make a creature invisible, silent, and undetectable by any and all senses. Discern Location U (div): Discover a target’s exact location within unlimited range. Dream Council (ill): Communicate through a shared dream. Maze (con): Trap a creature in an extradimensional maze. Mind Blank U (abj): Protect a creature from mental magic and some divinations. Prismatic Wall (abj): Form a protective wall with seven chromatic layers. Scintillating Pattern (ill): Cause an array of color that dazzles, confuses, and stuns. Spirit Song H (nec): Sing an eldritch song that damages any creature that has a spirit. Spiritual Epidemic (nec): Weaken a target with a communicable curse. Uncontrollable Dance (enc): Overcome a target with an all-consuming urge to dance. Unrelenting Observation (div): You and other creatures use scrying to track a subject exactly.
occult	9	Bind Soul U (nec): Imprison a dead creature’s soul. Foresight (div): Sense when a creature is in danger and react to protect it with good fortune. Overwhelming Presence (enc): Take on the majesty of a god. Prismatic Sphere (abj): Form a protective sphere composed of seven chromatic layers. Resplendent Mansion (con): Conjure a mansion that lasts for a day. Telepathic Demand (enc): Send a mental message that impels a creature toward a course of action. Unfathomable Song (enc): Song debilitates creatures in weird ways. Wail of the Banshee (nec): Scream, dealing damage and draining creatures. Weird (ill): Frighten, deal mental damage, and possibly kill large numbers of creatures.
occult	10	Alter Reality (div): Warp reality to duplicate occult spells. Fabricated Truth (enc): Make creatures believe something is fact. Gate U (con): Tear open a portal to another plane. Remake U (con): Recreate a destroyed object. Time Stop (tra): Briefly stop time for everything but you.
primal	0	Acid Splash H (evo): Damage creatures with acid. Dancing Lights (evo): Create four floating lights you can move. Detect Magic H (div): Sense whether magic is nearby. Disrupt Undead H (nec): Damage undead with positive energy. Electric Arc H (evo): Zap one or two creatures with lightning. Guidance (div): Divine guidance improves one roll. Know Direction H (div): Find true north. Light H (evo): Make an object glow. Prestidigitation (evo): Perform a minor magical trick. Produce Flame H (evo): Kindle small flames to attack close or at range. Ray of Frost H (evo): Damage a creature with cold. Read Aura H (div): Detect if an object is magical, and determine the school of its magic. Sigil H (tra): Leave a magical mark. Stabilize (nec): Stabilize a dying creature. Tanglefoot H (con): Conjure a vine to entangle a creature.
primal	1	Air Bubble (con): React to create air for a creature to breathe. Alarm H (abj): Be alerted if a creature enters a warded area. Ant Haul (tra): Target can carry more. Burning Hands H (evo): A small cone of flame rushes from your hands. Charm H (enc): A creature becomes more friendly to you. Create Water (con): Conjure 2 gallons of water. Detect Poison U, H (div): Determine whether an object or creature is poisonous or venomous. Fear H (enc): Frighten a creature, possibly making it flee. Feather Fall (abj): React to slow a creature’s fall. Fleet Step (tra): Make your Speed much faster. Goblin Pox (nec): Infect a creature with goblin pox. Grease (con): Coat a surface or object in slippery grease. Gust of Wind (evo): Wind blows out fires and knocks back objects and creatures. Heal H (nec): Positive energy heals the living or harms the undead, either a single creature or all in a burst. Hydraulic Push H (evo): Damage and push a creature with a blast of water. Jump H (tra): Make an impressive leap. Longstrider H (tra): Increase your Speed for an hour. Magic Fang (tra): Make a creature’s unarmed attacks magical temporarily. Mending H (tra): Repair one non-magical item. Negate Aroma H (abj): Suppress a creature’s scent. Pass without Trace H (abj): Make your tracks hard to find. Pest Form H (tra): Turn into a nonthreatening animal. Purify Food And Drink (nec): Make beverages and meals safe. Shillelagh (tra): Make a club or staff temporarily magical, and deal more damage to unnatural creatures. Shocking Grasp H (evo): Zap a creature with electricity. Spider Sting (nec): Damage a creature and afflict it with spider venom. Summon Animal H (con): Conjure an animal to fight on your behalf. Summon Fey H (con): Conjure a fey to fight on your behalf. Summon Plant or Fungus H (con): Conjure a plant or fungus to fight on your behalf. Ventriloquism H (ill): Throw your voice.
primal	2	Acid Arrow H (evo): Magical arrow deals acid damage persistently. Animal Form H (tra): Turn into a dangerous animal. Animal Messenger (enc): Send a Tiny animal to deliver a message. Barkskin H (abj): Target’s skin is covered in protective bark. Continual Flame H (evo): A magical flame burns indefinitely. Create Food H (con): Conjure food that can feed multiple creatures. Darkness H (evo): Suppress all light in an area. Darkvision H (div): See in the dark. Deafness (nec): Make a creature deaf. Dispel Magic (abj): End a spell or suppress an item’s magic. Endure Elements H (abj): Protect a creature from severe cold or heat. Enhance Victuals H (tra): Improve food or drink and remove poisons. Enlarge H (tra): A creature grows in size. Entangle (tra): Plants in an area grow to entangle and immobilize. Faerie Fire (evo): Colorful light prevents creatures from being concealed or invisible. Flaming Sphere H (evo): A ball of fire rolls about at your command. Gentle Repose H (nec): A corpse doesn’t decay and can’t become undead. Glitterdust (evo): Sparkling dust breaks invisibility and impedes vision. Humanoid Form H (tra): Take the shape of a humanoid. Obscuring Mist (con): Conceal creatures in a cloud of mist. Phantom Steed H (con): Conjure a magical horse. Remove Fear H (enc): Free a creature from its fright. Remove Paralysis H (nec): Free a creature from paralysis. Resist Energy H (abj): Protect a creature from one type of energy damage. Restoration H (nec): Reduce a condition or lessen a toxin. Restore Senses H (nec): Remove a blinding or deafening effect. Shape Wood (tra): Reshape unworked wood as you choose. Shatter H (evo): Shatter an object with a high-frequency sonic attack. Shrink H (tra): Reduce a willing creature to Tiny size. Speak with Animals (div): Communicate with animals. Spider Climb H (tra): Give a creature a climb Speed. Status H (div): Keep track of a willing creature’s location and well-being. Summon Elemental H (con): Conjure an elemental to fight on your behalf. Tree Shape (tra): Turn into a tree. Water Breathing H (tra): Allow creatures to breathe underwater. Water Walk H (tra): Buoy a creature so it can walk on water. Web H (con): Form a web that keeps creatures from moving.
primal	3	Animal Vision (div): Project your senses through an animal. Blindness (nec): Strike a target blind. Earthbind (tra): Bring a flying creature to the ground. Feet to Fins H (tra): Turn a creature’s feet into fins, enabling it swim but slowing it on land. Fireball H (evo): An explosion of fire in an area burns creatures. Glyph of Warding (abj): Store a spell in a symbol to make a trap. Haste H (tra): Speed up a creature so it can attack or move more often. Insect Form H (tra): Turn into a dangerous giant insect. Lightning Bolt H (evo): Lightning strikes all creatures in a line. Meld into Stone (tra): Meld into a block of stone. Neutralize Poison (nec): Cure a poison afflicting a creature. Nondetection U (abj): Protect a creature or object from detection. Remove Disease (nec): Cure a disease afflicting a creature. Searing Light H (evo): A ray of burning light deals extra damage to undead and counteracts darkness. Slow H (tra): Make a creature slower, reducing its actions. Stinking Cloud (con): Form a cloud that sickens creatures. Wall of Thorns H (con): Grow a wall of brambles. Wall of Wind (evo): Create a wall of gusting winds that hinders movement and ranged attacks.
primal	4	Aerial Form H (tra): Turn into a flying combatant. Air Walk (tra): Walk on air as though it were solid ground. Creation H (con): Make a temporary object. Dinosaur Form H (tra): Turn into a dinosaur. Fire Shield H (evo): Flames protect you from cold and harm those that touch you. Fly H (tra): Cause the target creature to gain a fly Speed. Freedom of Movement (abj): A creature overcomes hindrances to its movement. Gaseous Form (tra): Turn a willing creature into a flying cloud. Hallucinatory Terrain U, H (ill): A natural environment appears to be another kind of terrain. Hydraulic Torrent H (evo): Force creatures back with a damaging line of water. Shape Stone (tra): Reshape a cube of stone. Solid Fog (con): Conjure heavy fog that obscures sight and is hard to move through. Speak with Plants (div): Communicate with plants and plant creatures. Stoneskin H (abj): Harden a creature’s skin into durable stone. Vital Beacon H (nec): Radiate vitality that heals creatures that touch you. Wall of Fire H (evo): Create a blazing wall that burns creatures that pass through. Weapon Storm H (evo): Multiply a weapon you hold and attack many creatures with it.
primal	5	Banishment H (abj): Send a creature back to its home plane. Cloudkill H (nec): Poison creatures in a cloud that moves away from you. Cone of Cold H (evo): Bitter cold damages creatures in a cone. Control Water (evo): Raise or lower water in a large area. Death Ward (abj): Protect a creature against negative energy. Elemental Form H (tra): Turn into an elemental. Mariner’s Curse (nec): Infect a creature with the curse of the rolling sea. Moon Frenzy H (tra): Give willing creatures fangs and claws, and send them into a frenzy. Passwall U, H (con): Form an earthen tunnel through a wall. Plant Form H (tra): Turn into a dangerous plant creature. Summon Giant H (con): Conjure a giant to fight on your behalf. Tree Stride U, H (con): Teleport from tree to tree. Wall of Ice H (evo): Sculpt a foot-thick wall of ice that blocks sight and can chill creatures. Wall of Stone H (con): Shape a wall of stone.
primal	6	Baleful Polymorph (tra): Transform a creature into a harmless animal. Chain Lightning H (evo): Lightning jumps from creature to creature. Dragon Form H (tra): Turn into a dragon. Field of Life H (nec): Create a positive energy field that heals those within. Fire Seeds H (evo): Make four explosive acorns. Flesh To Stone (tra): Turn a living creature to a stone statue. Purple Worm Sting (nec): Damage a creature and infect it with purple worm venom. Stone Tell U (div): Speak to spirits within natural stone. Stone to Flesh (tra): Turn a creature turned to stone back to flesh. Tangling Creepers (con): Entangle creatures in a burst and concentrate to lash out with immobilizing vines. True Seeing (div): See through illusions and transmutations.
primal	7	Eclipse Burst H (nec): A globe of darkness deals cold damage, hurts the living, and overcomes light. Energy Aegis H (abj): A creature gains resistance to acid, cold, electricity, fire, force, and sonic. Fiery Body H (tra): Turn your body into living flame. Finger of Death H (nec): Point at a creature to deal negative damage and possibly kill it instantly. Mask of Terror H (ill): A creature’s fearsome illusory appearance frightens observers. Plane Shift U (con): Transport creatures to another plane of existence. Regenerate H (nec): Cause a creature to heal over time, regrow organs, and reattach body parts. Sunburst H (evo): A globe of sunlight deals fire damage, hurts undead, and overcomes darkness. Unfettered Pack H (abj): Let creatures avoid environmental hindrances. Volcanic Eruption H (evo): Cause massive lava sprays that burn creatures and encase them in rock.
primal	8	Earthquake H (evo): Shake the ground with a devastating earthquake. Horrid Wilting H (nec): Pull moisture from creatures, damaging them. Moment of Renewal (nec): Give a day’s recovery in an instant. Monstrosity Form H (tra): Turn into a powerful monster. Polar Ray H (evo): Bitter cold damages and drains a creature. Punishing Winds (evo): A cyclone inhibits flight and traps creatures. Wind Walk (tra): Turn creatures into swift-moving clouds.
primal	9	Disjunction U (abj): Deactivate or destroy a magic item. Implosion H (evo): Make a creature collapse in on itself. Massacre H (nec): Instantly kill multiple creatures. Meteor Swarm H (evo): Call down four blazing meteors that explode. Nature’s Enmity (enc): Turn animals, plants, and weather against creatures of your choice. Shapechange (tra): Transform into a form of your choice repeatedly. Storm of Vengeance H (evo): Create a massive, dangerous storm.
primal	10	Cataclysm (evo): Call an instant, damaging cataclysm. Nature Incarnate (tra): Turn into a massive avatar of nature. Primal Herd (tra): Transform willing creatures into mammoths. Primal Phenomenon (div): Request for nature to duplicate primal spells. Remake U (con): Recreate a destroyed object. Revival (nec): Heal creatures in an area and return the dead to life temporarily.
