name	level	gameclass	property
Weapon Tricks	5	rogue	feat_of
Evasion	7	rogue	feat_of
Vigilant Senses	7	rogue	feat_of
Weapon Specialization	7	rogue	feat_of
Debilitating Strike	9	rogue	feat_of
Great Fortitude rogue	9	rogue	feat_of
Rogue Expertise	11	rogue	feat_of
Improved Evasion rogue	13	rogue	feat_of
Incredible Senses rogue	13	rogue	feat_of
Light Armor Expertise	13	rogue	feat_of
Master Tricks	13	rogue	feat_of
Double Debilitation	15	rogue	feat_of
Greater Weapon Specialization	15	rogue	feat_of
Slippery Mind	17	rogue	feat_of
Light Armor Mastery	19	rogue	feat_of
Master Strike	19	rogue	feat_of
Battle Assessment	4	rogue	selectable_feat_of
Blank Slate	16	rogue	selectable_feat_of
Blind-Fight	8	rogue	selectable_feat_of
Brutal Beating	2	rogue	selectable_feat_of
Cloud Step	16	rogue	selectable_feat_of
Cognitive Loophole	16	rogue	selectable_feat_of
Critical Debilitation	12	rogue	selectable_feat_of
Defensive Roll	14	rogue	selectable_feat_of
Delay Trap	8	rogue	selectable_feat_of
Dispelling Slice	16	rogue	selectable_feat_of
Distracting Feint	2	rogue	selectable_feat_of
Dread Striker	4	rogue	selectable_feat_of
Fantastic Leap	12	rogue	selectable_feat_of
Felling Shot	12	rogue	selectable_feat_of
Gang Up	6	rogue	selectable_feat_of
Hidden Paragon	20	rogue	selectable_feat_of
Implausible Infiltration	18	rogue	selectable_feat_of
Impossible Striker	20	rogue	selectable_feat_of
Improved Poison Weapon	8	rogue	selectable_feat_of
Instant Opening	14	rogue	selectable_feat_of
Leave an Opening	14	rogue	selectable_feat_of
Light Step	6	rogue	selectable_feat_of
Magical Trickster	4	rogue	selectable_feat_of
Minor Magic	2	rogue	selectable_feat_of
Mobility	2	rogue	selectable_feat_of
Nimble Dodge	1	rogue	selectable_feat_of
Nimble Roll	8	rogue	selectable_feat_of
Opportune Backstab	8	rogue	selectable_feat_of
Perfect Distraction	16	rogue	selectable_feat_of
Poison Weapon	4	rogue	selectable_feat_of
Powerful Sneak	18	rogue	selectable_feat_of
Precise Debilitations	10	rogue	selectable_feat_of
Quick Draw	2	rogue	selectable_feat_of
Reactive Distraction	20	rogue	selectable_feat_of
Reactive Interference	12	rogue	selectable_feat_of
Reactive Pursuit	4	rogue	selectable_feat_of
Sabotage	4	rogue	selectable_feat_of
Scout’s Warning	4	rogue	selectable_feat_of
Sense the Unseen	14	rogue	selectable_feat_of
Sidestep	8	rogue	selectable_feat_of
Skirmish Strike	6	rogue	selectable_feat_of
Sly Striker	8	rogue	selectable_feat_of
Sneak Savant	10	rogue	selectable_feat_of
Spring from the Shadows	12	rogue	selectable_feat_of
Tactical Debilitations	10	rogue	selectable_feat_of
Trap Finder	1	rogue	selectable_feat_of
Trickster’s Ace	18	rogue	selectable_feat_of
Twin Feint	1	rogue	selectable_feat_of
Twist the Knife	6	rogue	selectable_feat_of
Unbalancing Blow	2	rogue	selectable_feat_of
Vicious Debilitations	10	rogue	selectable_feat_of
You're Next	1	rogue	selectable_feat_of
Bloodline	1	sorcerer	feat_of
Sorcerer Spellcasting	1	sorcerer	feat_of
Spell Repertoire	1	sorcerer	feat_of
Signature Spells	3	sorcerer	feat_of
Magical Fortitude	5	sorcerer	feat_of
Expert Spellcaster	7	sorcerer	feat_of
Lightning Reflexes sorcerer	9	sorcerer	feat_of
Alertness sorcerer	11	sorcerer	feat_of
Weapon Expertise sorcerer	11	sorcerer	feat_of
Defensive Robes	13	sorcerer	feat_of
Weapon Specialization sorcerer	13	sorcerer	feat_of
Master Spellcaster	15	sorcerer	feat_of
Resolve sorcerer	17	sorcerer	feat_of
Bloodline Paragon	19	sorcerer	feat_of
Legendary Spellcaster	19	sorcerer	feat_of
Advanced Bloodline	6	sorcerer	selectable_feat_of
Arcane Evolution	4	sorcerer	selectable_feat_of
Bespell Weapon	4	sorcerer	selectable_feat_of
Bloodline Conduit	20	sorcerer	selectable_feat_of
Bloodline Focus	12	sorcerer	selectable_feat_of
Bloodline Perfection	20	sorcerer	selectable_feat_of
Bloodline Resistance	8	sorcerer	selectable_feat_of
Bloodline Wellspring	18	sorcerer	selectable_feat_of
Cantrip Expansion	2	sorcerer	selectable_feat_of
Counterspell	1	sorcerer	selectable_feat_of
Crossblooded Evolution	8	sorcerer	selectable_feat_of
Dangerous Sorcery	1	sorcerer	selectable_feat_of
Divine Evolution	4	sorcerer	selectable_feat_of
Effortless Concentration	16	sorcerer	selectable_feat_of
Enhanced Familiar	2	sorcerer	selectable_feat_of
Familiar	1	sorcerer	selectable_feat_of
Greater Bloodline	10	sorcerer	selectable_feat_of
Greater Crossblooded Evolution	18	sorcerer	selectable_feat_of
Greater Mental Evolution	16	sorcerer	selectable_feat_of
Greater Vital Evolution	16	sorcerer	selectable_feat_of
Interweave Dispel	14	sorcerer	selectable_feat_of
Magic Sense	12	sorcerer	selectable_feat_of
Metamagic Mastery	20	sorcerer	selectable_feat_of
Occult Evolution	4	sorcerer	selectable_feat_of
Overwhelming Energy	10	sorcerer	selectable_feat_of
Primal Evolution	4	sorcerer	selectable_feat_of
Quickened Casting	10	sorcerer	selectable_feat_of
Reach Spell	1	sorcerer	selectable_feat_of
Reflect Spell	14	sorcerer	selectable_feat_of
Steady Spellcasting	6	sorcerer	selectable_feat_of
Widen Spell	1	sorcerer	selectable_feat_of
Arcane Spellcasting	1	wizard	feat_of
Arcane School	1	wizard	feat_of
Arcane Bond	1	wizard	feat_of
Arcane Thesis	1	wizard	feat_of
Lightning Reflexes	5	wizard	feat_of
Expert Spellcaster	7	wizard	feat_of
Magical Fortitude wizard	9	wizard	feat_of
Alertness wizard	11	wizard	feat_of
Wizard Weapon Expertise	11	wizard	feat_of
Defensive Robes	13	wizard	feat_of
Weapon Specialization wizard	13	wizard	feat_of
Master Spellcaster	15	wizard	feat_of
Resolve wizard	17	wizard	feat_of
Archwizard’s Spellcraft	19	wizard	feat_of
Legendary Spellcaster	19	wizard	feat_of
Advanced School Spell	8	wizard	selectable_feat_of
Archwizard’s Might	20	wizard	selectable_feat_of
Bespell Weapon	4	wizard	selectable_feat_of
Bond Conservation	8	wizard	selectable_feat_of
Bonded Focus	14	wizard	selectable_feat_of
Cantrip Expansion	2	wizard	selectable_feat_of
Clever Counterspell	12	wizard	selectable_feat_of
Conceal Spell	2	wizard	selectable_feat_of
Counterspell	1	wizard	selectable_feat_of
Effortless Concentration	16	wizard	selectable_feat_of
Enhanced Familiar	2	wizard	selectable_feat_of
Eschew Materials	1	wizard	selectable_feat_of
Familiar	1	wizard	selectable_feat_of
Hand of the Apprentice	1	wizard	selectable_feat_of
Infinite Possibilities	18	wizard	selectable_feat_of
Linked Focus	4	wizard	selectable_feat_of
Magic Sense	12	wizard	selectable_feat_of
Metamagic Mastery	20	wizard	selectable_feat_of
Overwhelming Energy	10	wizard	selectable_feat_of
Quickened Casting	10	wizard	selectable_feat_of
Reach Spell	1	wizard	selectable_feat_of
Reflect Spell	14	wizard	selectable_feat_of
Reprepare Spell	18	wizard	selectable_feat_of
Scroll Savant	10	wizard	selectable_feat_of
Silent Spell	4	wizard	selectable_feat_of
Spell Combination	20	wizard	selectable_feat_of
Spell Penetration	6	wizard	selectable_feat_of
Spell Tinker	16	wizard	selectable_feat_of
Steady Spellcasting	6	wizard	selectable_feat_of
Superior Bond	14	wizard	selectable_feat_of
Universal Versatility	8	wizard	selectable_feat_of
Widen Spell	1	wizard	selectable_feat_of
